LFG1,LFG10,LFG11,LFG12,LFG13,LFG14,LFG15,LFG16,LFG17,LFG18,LFG19,LFG2,LFG20,LFG21,LFG22,LFG23,LFG24,LFG25,LFG26,LFG27,LFG28,LFG29,LFG3,LFG30,LFG31,LFG32,LFG33,LFG34,LFG35,LFG36,LFG37,LFG38,LFG39,LFG4,LFG40,LFG41,LFG42,LFG43,LFG44,LFG45,LFG46,LFG47,LFG48,LFG49,LFG5,LFG50,LFG51,LFG52,LFG53,LFG54,LFG55,LFG56,LFG57,LFG58,LFG59,LFG6,LFG60,LFG61,LFG62,LFG63,LFG64,LFG7,LFG8,LFG9,LFS1,LFS2,LFS3,LFS4
22.646,-169.784,-136.374,-91.652,-105.652,255.948,-95.406,-144.63,-333.92,-415.57,-290.944,-131.562,-165.944,-86.73599999999999,-346.11,-101.394,-408.79,-69.498,-226.168,-222.914,-177.768,-177.86599999999999,-14.097999999999999,-47.078,106.546,-1.1080000000000005,-137.46,259.418,104.96000000000001,-18.414,59.486,5.594000000000001,154.98,25.156,77.692,43.274,-5.846000000000004,62.178,111.258,255.028,23.328,-117.74599999999998,121.25,374.626,97.118,228.96,-308.234,-134.174,26.05,-12.036,-80.618,-42.614000000000004,-421.228,494.038,-104.276,17.454,-31.094,-23.372,-111.378,-19.195999999999998,54.732,-75.824,36.492000000000004,29.388,-257.864,-159.456,-9.201999999999998,-76.226
10.646,-168.784,-130.374,-93.652,-97.652,273.948,-98.406,-169.63,-363.92,-427.57,-324.944,-106.562,-154.944,-37.736,-324.11,-72.394,-403.79,-54.498,-235.168,-207.914,-148.768,-160.86599999999999,-20.098,-53.078,107.546,9.892,-148.46,251.418,144.96,7.5859999999999985,63.486,36.594,156.98,46.156,95.692,40.274,29.153999999999996,45.178,103.258,242.028,30.328,-116.74599999999998,85.25,349.626,106.118,245.96,-329.234,-156.174,23.05,2.9640000000000004,-85.618,-48.614000000000004,-422.228,517.038,-78.276,19.454,-23.094,-22.372,-99.378,-30.195999999999998,40.732,-57.824,41.492000000000004,1.3880000000000017,-250.864,-133.456,-6.201999999999998,-63.226
5.646000000000001,-159.784,-124.374,-54.652,-87.652,267.948,-61.406,-187.63,-357.92,-423.57,-356.944,-116.562,-166.944,-8.735999999999997,-293.11,-67.394,-399.79,-66.498,-257.168,-202.914,-137.768,-139.86599999999999,-34.098,-79.078,117.546,23.892,-174.46,233.418,162.96,29.586,100.486,76.594,170.98,73.156,119.692,42.274,61.153999999999996,33.178,113.258,229.028,36.328,-119.74599999999998,34.25,371.626,108.118,262.96000000000004,-340.234,-159.174,19.05,1.9640000000000004,-98.618,-72.614,-415.228,552.038,-48.275999999999996,23.454,-10.094000000000001,-23.372,-82.378,-34.196,11.732,-35.824,48.492000000000004,-10.611999999999998,-259.864,-100.456,-4.201999999999998,-57.226
9.646,-156.784,-123.374,-62.652,-93.652,233.948,-17.406,-209.63,-337.92,-409.57,-401.944,-123.562,-180.944,-4.735999999999997,-253.11,-62.394000000000005,-386.79,-78.498,-258.168,-198.914,-118.768,-120.866,-44.098,-93.078,103.546,22.892,-181.46,208.418,154.96,32.586,121.486,99.594,189.98,115.156,119.692,47.274,88.154,51.178,117.258,224.028,41.328,-126.74599999999998,10.25,379.626,98.118,289.96000000000004,-339.234,-148.174,-10.95,-18.036,-99.618,-86.614,-412.228,602.038,-8.276,21.454,4.905999999999999,-37.372,-82.378,-31.195999999999998,9.732,-30.823999999999998,34.492000000000004,-19.612,-260.864,-82.456,0.7980000000000018,-49.226
12.646,-157.784,-110.374,-72.652,-86.652,162.948,-0.4059999999999988,-199.63,-318.92,-409.57,-442.944,-127.562,-184.944,-17.735999999999997,-236.11,-32.394000000000005,-378.79,-87.498,-259.168,-199.914,-99.768,-123.866,-42.098,-103.078,100.546,9.892,-158.46,190.418,174.96,42.586,140.486,104.594,186.98,136.156,97.692,45.274,118.154,65.178,112.258,199.028,30.328,-166.74599999999998,-23.75,374.626,108.118,307.96000000000004,-338.234,-139.174,-59.95,-52.036,-109.618,-97.614,-417.228,633.038,53.724000000000004,27.454,10.905999999999999,-53.372,-107.378,-49.196,11.732,-24.823999999999998,44.492000000000004,0.3880000000000017,-266.864,-92.456,-18.201999999999998,-47.226
31.646,-156.784,-99.374,-70.652,-63.652,131.948,-10.405999999999999,-214.63,-319.92,-406.57,-457.944,-140.562,-167.944,-13.735999999999997,-263.11,-21.394000000000005,-350.79,-97.498,-263.168,-187.914,-97.768,-117.866,-25.098,-142.078,103.546,20.892,-125.46000000000001,189.418,206.96,29.586,162.486,108.594,206.98,154.156,83.692,51.274,147.154,75.178,120.258,150.028,8.328,-191.74599999999998,-67.75,347.626,120.118,328.96000000000004,-336.234,-126.174,-60.95,-73.036,-123.618,-108.614,-409.228,662.038,120.724,46.454,28.906,-41.372,-100.378,-70.196,-20.268,-15.824,58.492000000000004,13.388000000000002,-267.864,-104.456,-18.201999999999998,-37.226
-0.3539999999999992,-193.784,-124.374,-114.652,-55.652,157.948,-37.406,-207.63,-357.92,-440.57,-473.944,-205.562,-187.944,-40.736,-297.11,-20.394000000000005,-321.79,-147.498,-303.168,-242.914,-137.768,-107.866,-58.098,-158.078,115.546,38.891999999999996,-185.46,127.418,170.96,-21.414,157.486,122.594,233.98,135.156,117.692,43.274,141.154,65.178,123.258,125.02799999999999,-4.672000000000001,-193.74599999999998,-93.75,312.626,121.118,337.96000000000004,-362.234,-132.174,-47.95,-86.036,-117.618,-101.614,-399.228,663.038,132.724,69.45400000000001,16.906,-69.372,-97.378,-39.196,-13.268,-7.824,69.492,-2.6119999999999983,-279.864,-129.456,-20.201999999999998,-25.226
9.646,-177.784,-100.374,-117.652,-31.652,186.948,-57.406,-185.63,-321.92,-425.57,-437.944,-215.562,-181.944,-57.736,-278.11,-19.394000000000005,-309.79,-138.498,-301.168,-245.914,-132.768,-71.866,-57.098,-123.078,141.546,50.891999999999996,-200.46,122.418,188.96,-26.414,207.486,168.594,264.98,150.156,141.692,10.274000000000001,113.154,22.177999999999997,106.258,137.028,0.32799999999999985,-172.74599999999998,-107.75,293.626,132.118,323.96000000000004,-423.234,-177.174,-59.95,-87.036,-92.618,-69.614,-396.228,620.038,100.724,93.45400000000001,-6.094000000000001,-104.372,-124.378,-19.195999999999998,94.732,2.176,81.492,16.388,-311.864,-177.456,-47.202,-25.226
-3.353999999999999,-170.784,-88.374,-120.652,-43.652,203.948,-101.406,-196.63,-320.92,-442.57,-436.944,-228.562,-154.944,-86.73599999999999,-287.11,-59.394000000000005,-294.79,-155.498,-321.168,-241.914,-128.768,-46.866,-54.098,-95.078,150.546,41.891999999999996,-230.46,102.418,184.96,-34.414,254.486,197.594,256.98,170.156,138.692,3.274000000000001,129.154,7.177999999999997,109.258,179.028,12.328,-169.74599999999998,-126.75,331.626,110.118,324.96000000000004,-433.234,-196.174,-46.95,-62.036,-76.618,-90.614,-385.228,614.038,104.724,87.45400000000001,9.905999999999999,-59.372,-119.378,-24.195999999999998,93.732,-0.8239999999999998,66.492,0.3880000000000017,-325.864,-190.456,-44.202,-19.226
-17.354,-153.784,-58.374,-113.652,-33.652,219.948,-101.406,-208.63,-291.92,-450.57,-433.944,-231.562,-118.944,-115.73599999999999,-284.11,-68.394,-259.79,-196.498,-337.168,-197.914,-85.768,-16.866,-37.098,-111.078,159.546,43.891999999999996,-280.46000000000004,89.418,174.96,-30.414,265.486,207.594,235.98,202.156,144.692,-11.725999999999999,140.154,-14.822000000000003,124.258,207.028,5.327999999999999,-195.74599999999998,-143.75,351.626,110.118,304.96000000000004,-426.234,-220.174,-50.95,-52.036,-86.618,-108.614,-394.228,603.038,104.724,95.45400000000001,14.905999999999999,-31.372,-124.378,-23.195999999999998,78.732,6.176,64.492,-7.611999999999998,-348.864,-192.456,-11.201999999999998,-24.226
