LFG1,LFG10,LFG11,LFG12,LFG13,LFG14,LFG15,LFG16,LFG17,LFG18,LFG19,LFG2,LFG20,LFG21,LFG22,LFG23,LFG24,LFG25,LFG26,LFG27,LFG28,LFG29,LFG3,LFG30,LFG31,LFG32,LFG33,LFG34,LFG35,LFG36,LFG37,LFG38,LFG39,LFG4,LFG40,LFG41,LFG42,LFG43,LFG44,LFG45,LFG46,LFG47,LFG48,LFG49,LFG5,LFG50,LFG51,LFG52,LFG53,LFG54,LFG55,LFG56,LFG57,LFG58,LFG59,LFG6,LFG60,LFG61,LFG62,LFG63,LFG64,LFG7,LFG8,LFG9,LFS1,LFS2,LFS3,LFS4
-201.118,-44.216,72.758,-2.2620000000000005,16.617999999999995,-132.242,92.706,-9.802,-383.9,-179.072,-40.898,-57.24199999999999,-33.254,-48.048,-144.33800000000002,76.028,438.96000000000004,-184.976,-253.418,-177.304,-220.608,-243.442,-4.124000000000002,28.04400000000001,20.177999999999997,-116.45,-54.784,-44.944,1.5719999999999992,-96.156,-20.159999999999997,87.038,88.206,219.556,95.424,37.53999999999999,-386.698,-107.436,53.31399999999999,-137.724,-86.006,83.52999999999997,27.677999999999997,-166.596,-160.292,-614.2539999999999,-312.352,-31.045999999999992,69.778,-257.848,-367.19000000000005,27.066000000000003,-63.084,-26.911999999999978,-23.618000000000002,-126.702,-69.43199999999999,-61.756,-88.73000000000002,-163.93200000000002,74.172,-29.542,-150.168,-166.05,225.986,99.368,240.164,46.51799999999997
-218.118,-64.21600000000001,38.757999999999996,-40.262,22.617999999999995,-153.242,61.706,-0.8019999999999996,-403.9,-207.072,-101.898,-56.24199999999999,-108.25399999999999,-79.048,-126.33800000000002,58.028000000000006,401.96000000000004,-188.976,-292.418,-259.304,-300.608,-254.442,-21.124000000000002,105.04400000000001,17.177999999999997,-128.45,-70.78399999999999,-67.944,-50.428,-172.156,-32.16,119.038,98.206,214.556,45.424,50.53999999999999,-389.698,-151.436,100.314,-105.724,-39.006,111.52999999999997,-34.322,-163.596,-159.292,-619.2539999999999,-220.352,-31.045999999999992,86.778,-172.848,-350.19000000000005,33.066,-47.084,20.088000000000022,-1.618000000000002,-117.702,-70.43199999999999,-50.756,-81.73000000000002,-156.93200000000002,52.172,6.457999999999998,-84.168,-150.05,239.986,71.368,203.164,34.51799999999997
-248.118,-98.21600000000001,1.7579999999999956,-87.262,16.617999999999995,-173.242,51.706,9.198,-423.9,-246.072,-161.898,-73.24199999999999,-171.254,-86.048,-148.33800000000002,21.028000000000006,352.96000000000004,-206.976,-329.418,-319.304,-380.608,-302.442,-42.124,165.044,12.177999999999997,-131.45,-78.78399999999999,-95.944,-99.428,-250.156,-59.16,136.038,91.206,198.556,-4.5760000000000005,49.53999999999999,-397.698,-191.436,130.314,-66.724,4.994,125.52999999999997,-42.322,-149.596,-145.292,-646.2539999999999,-155.352,-38.04599999999999,102.778,-102.84800000000001,-345.19000000000005,37.066,-41.084,48.08800000000002,3.381999999999998,-115.702,-67.43199999999999,-42.756,-95.73000000000002,-145.93200000000002,34.172,24.458,-22.168,-154.05,231.986,52.367999999999995,167.164,19.517999999999972
-254.118,-112.21600000000001,-34.242000000000004,-82.262,27.617999999999995,-141.242,37.706,14.198,-423.9,-267.072,-219.898,-71.24199999999999,-214.254,8.951999999999998,-144.33800000000002,-17.971999999999994,315.96000000000004,-214.976,-356.418,-364.304,-458.608,-327.442,-43.124,200.044,13.177999999999997,-128.45,-47.784,-90.944,-139.428,-315.156,-79.16,157.038,71.206,213.556,-11.576,38.53999999999999,-400.698,-213.436,137.314,-15.724000000000004,23.994,134.52999999999997,-64.322,-168.596,-119.292,-680.2539999999999,-137.352,-43.04599999999999,105.778,-86.84800000000001,-343.19000000000005,30.066000000000003,-48.084,22.088000000000022,-0.6180000000000021,-117.702,-63.43199999999999,-46.756,-155.73000000000002,-166.93200000000002,20.171999999999997,21.458,29.832,-143.05,201.986,43.367999999999995,141.164,11.517999999999972
-254.118,-110.21600000000001,-92.242,-45.262,19.617999999999995,-110.24199999999999,4.7059999999999995,23.198,-396.9,-263.072,-252.898,-74.24199999999999,-252.254,248.952,-121.33800000000002,-29.971999999999994,267.96000000000004,-196.976,-372.418,-391.304,-524.608,-357.442,-64.124,188.044,14.177999999999997,-105.45,5.216000000000001,-103.944,-190.428,-356.156,-95.16,140.038,49.206,210.556,-22.576,40.53999999999999,-384.698,-210.436,150.314,18.275999999999996,54.994,179.52999999999997,-59.322,-193.596,-128.292,-676.2539999999999,-167.352,-42.04599999999999,72.778,-105.84800000000001,-330.19000000000005,33.066,-14.084000000000003,8.088000000000022,13.381999999999998,-140.702,-52.43199999999999,-48.756,-220.73000000000002,-182.93200000000002,15.171999999999997,-2.5420000000000016,27.832,-138.05,184.986,66.368,141.164,11.517999999999972
-255.118,-96.21600000000001,-144.24200000000002,-15.262,31.617999999999995,-65.24199999999999,-14.294,42.198,-364.9,-226.072,-283.898,-93.24199999999999,-292.254,463.952,-40.33800000000002,-59.971999999999994,202.96,-177.976,-424.418,-443.304,-600.608,-395.442,-80.124,186.044,2.1779999999999973,-74.45,39.216,-137.94400000000002,-224.428,-381.156,-92.16,106.038,22.206,236.556,-33.576,50.53999999999999,-367.698,-195.436,182.314,49.275999999999996,68.994,209.52999999999997,-28.322000000000003,-211.596,-131.292,-633.2539999999999,-253.352,-37.04599999999999,6.778000000000006,-146.848,-337.19000000000005,50.066,12.915999999999997,18.088000000000022,18.381999999999998,-174.702,-44.43199999999999,-50.756,-277.73,-188.93200000000002,13.171999999999997,-39.542,-28.168,-124.05,175.986,108.368,168.164,33.51799999999997
-236.118,-33.216,-132.24200000000002,30.738,95.618,-31.241999999999997,13.706,16.198,-311.9,-122.072,-241.898,-91.24199999999999,-286.254,566.952,28.661999999999978,-88.972,117.96000000000001,-177.976,-542.418,-504.304,-636.608,-396.442,-63.124,189.044,0.17799999999999727,-53.45,53.216,-165.94400000000002,-209.428,-397.156,-75.16,62.038,-7.7940000000000005,267.55600000000004,-44.576,43.53999999999999,-347.698,-180.436,217.314,85.276,53.994,196.52999999999997,-35.322,-221.596,-106.292,-584.2539999999999,-353.352,-15.045999999999992,-51.221999999999994,-196.848,-381.19000000000005,61.066,1.9159999999999968,-3.9119999999999777,24.381999999999998,-188.702,-44.43199999999999,-57.756,-322.73,-196.93200000000002,-9.828000000000003,-69.542,-76.168,-79.05,148.986,137.368,184.164,46.51799999999997
-217.118,16.784,-100.242,46.738,178.618,7.758000000000003,51.706,-59.802,-285.9,-132.072,-214.898,-97.24199999999999,-210.254,552.952,104.66199999999998,-102.972,37.96000000000001,-202.976,-670.418,-575.304,-643.608,-356.442,-36.124,189.044,-5.822000000000003,-40.45,45.216,-182.94400000000002,-192.428,-410.156,-93.16,66.038,-64.794,287.55600000000004,-70.576,43.53999999999999,-327.698,-169.436,227.314,112.276,32.994,167.52999999999997,-81.322,-208.596,-50.292,-543.2539999999999,-426.352,3.9540000000000077,-93.222,-256.848,-447.19000000000005,40.066,-5.084000000000003,-13.911999999999978,35.382,-188.702,-45.43199999999999,-73.756,-334.73,-206.93200000000002,-28.828000000000003,-82.542,-55.168,-54.05,146.986,170.368,195.164,72.51799999999997
-206.118,5.783999999999999,-117.242,11.738,254.618,11.758000000000003,99.706,-97.80199999999999,-279.9,-292.072,-236.898,-135.242,-120.25399999999999,447.952,138.66199999999998,-125.972,-14.039999999999992,-216.976,-652.418,-535.304,-584.608,-296.442,-48.124,177.044,-23.822000000000003,-40.45,45.216,-160.94400000000002,-126.428,-355.156,-101.16,78.038,-91.794,278.55600000000004,-128.576,57.53999999999999,-318.698,-186.436,203.314,144.276,13.994,144.52999999999997,-126.322,-221.596,-11.292000000000002,-527.2539999999999,-496.352,21.954000000000008,-138.22199999999998,-312.848,-505.19000000000005,1.0660000000000025,-9.084000000000003,-27.911999999999978,46.382,-154.702,-62.43199999999999,-87.756,-318.73,-219.93200000000002,-48.828,-83.542,-56.168,-52.05,153.986,187.368,210.164,84.51799999999997
-195.118,-36.216,-181.24200000000002,-9.262,292.618,-31.241999999999997,150.706,-68.80199999999999,-249.89999999999998,-494.072,-285.898,-159.242,-81.25399999999999,297.952,168.66199999999998,-117.972,-21.039999999999992,-181.976,-511.418,-429.304,-439.608,-238.442,-49.124,193.044,7.177999999999997,12.55,96.21600000000001,-68.944,2.571999999999999,-216.156,-22.159999999999997,82.038,-73.794,242.556,-124.576,92.53999999999999,-290.698,-182.436,196.314,198.276,11.994,149.52999999999997,-140.322,-265.596,32.708,-519.2539999999999,-526.352,54.95400000000001,-172.22199999999998,-331.848,-535.19,-9.933999999999997,-11.084000000000003,-62.91199999999998,74.382,-101.702,-72.43199999999999,-95.756,-307.73,-218.93200000000002,-80.828,-67.542,-83.168,-41.05,161.986,189.368,223.164,78.51799999999997
