RIS_1,RIS_2,RIS_3,RIS_4,RIS_5,RIS_6,RIS_7,RIS_8,RPD_1,RPD_2,RPD_3,RPD_4,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,RSS_7,RSS_8,RTG_01,RTG_02,RTG_03,RTG_04,RTG_05,RTG_06,RTG_07,RTG_08,RTG_09,RTG_10,RTG_11,RTG_12,RTG_13,RTG_14,RTG_15,RTG_16
-20.25239999999758,11.26879999999801,-20.170200000000477,15.258600000001024,-64.7954000000027,-9.344199999999546,183.65899999999965,700.0123999999996,79.99020000000019,-65.31719999999768,-26.573199999998906,-126.49960000000283,-41.05599999999686,54.109199999998964,26.372199999997974,125.27479999999923,-125.36460000000079,-287.6612000000023,251.95500000000175,-24.236400000001595,7.300799999997253,-56.79099999999744,69.07979999999952,58.87720000000263,-55.98619999999937,-17.48399999999674,-112.40280000000348,22.378199999999197,-31.080399999998917,-30.092400000001362,-97.40699999999924,-57.235200000002806,-23.84100000000035,-52.27219999999943,-76.91960000000108,-63.60420000000158
-23.25239999999758,9.26879999999801,-23.170200000000477,12.258600000001024,-67.7954000000027,-12.344199999999546,180.65899999999965,698.0123999999996,76.99020000000019,-68.31719999999768,-30.573199999998906,-130.49960000000283,-44.05599999999686,51.109199999998964,24.372199999997974,122.27479999999923,-130.3646000000008,-292.6612000000023,248.95500000000175,-25.236400000001595,4.300799999997253,-54.79099999999744,68.07979999999952,57.87720000000263,-58.98619999999937,-21.48399999999674,-114.40280000000348,19.378199999999197,-34.08039999999892,-33.09240000000136,-100.40699999999924,-60.235200000002806,-24.84100000000035,-55.27219999999943,-78.91960000000108,-65.60420000000158
-27.25239999999758,5.268799999998009,-26.170200000000477,9.258600000001024,-73.7954000000027,-16.344199999999546,176.65899999999965,695.0123999999996,74.99020000000019,-71.31719999999768,-35.573199999998906,-134.49960000000283,-47.05599999999686,48.109199999998964,22.372199999997974,120.27479999999923,-134.3646000000008,-297.6612000000023,246.95500000000175,-26.236400000001595,0.3007999999972526,-54.79099999999744,66.07979999999952,55.87720000000263,-60.98619999999937,-25.48399999999674,-118.40280000000348,16.378199999999197,-39.08039999999892,-36.09240000000136,-103.40699999999924,-63.235200000002806,-27.84100000000035,-59.27219999999943,-82.91960000000108,-68.60420000000158
-29.25239999999758,4.268799999998009,-26.170200000000477,8.258600000001024,-77.7954000000027,-16.344199999999546,176.65899999999965,695.0123999999996,75.99020000000019,-72.31719999999768,-37.573199999998906,-135.49960000000283,-48.05599999999686,48.109199999998964,24.372199999997974,120.27479999999923,-136.3646000000008,-299.6612000000023,245.95500000000175,-24.236400000001595,1.3007999999972526,-51.79099999999744,67.07979999999952,55.87720000000263,-61.98619999999937,-27.48399999999674,-120.40280000000348,15.378199999999197,-40.08039999999892,-39.09240000000136,-105.40699999999924,-64.2352000000028,-31.84100000000035,-62.27219999999943,-85.91960000000108,-70.60420000000158
-25.25239999999758,7.268799999998009,-21.170200000000477,11.258600000001024,-75.7954000000027,-12.344199999999546,178.65899999999965,698.0123999999996,78.99020000000019,-71.31719999999768,-35.573199999998906,-132.49960000000283,-44.05599999999686,51.109199999998964,29.372199999997974,124.27479999999923,-135.3646000000008,-298.6612000000023,248.95500000000175,-20.236400000001595,7.300799999997253,-45.79099999999744,71.07979999999952,58.87720000000263,-58.98619999999937,-25.48399999999674,-118.40280000000348,16.378199999999197,-38.08039999999892,-37.09240000000136,-104.40699999999924,-62.235200000002806,-31.84100000000035,-61.27219999999943,-84.91960000000108,-68.60420000000158
-18.25239999999758,13.26879999999801,-12.170200000000477,17.258600000001024,-69.7954000000027,-6.344199999999546,183.65899999999965,706.0123999999996,85.99020000000019,-67.31719999999768,-31.573199999998906,-128.49960000000283,-37.05599999999686,58.109199999998964,36.372199999997974,131.27479999999923,-132.3646000000008,-295.6612000000023,254.95500000000175,-12.236400000001595,16.300799999997253,-34.79099999999744,78.07979999999952,64.87720000000263,-53.98619999999937,-20.48399999999674,-111.40280000000348,20.378199999999197,-32.08039999999892,-32.09240000000136,-99.40699999999924,-57.235200000002806,-26.84100000000035,-55.27219999999943,-80.91960000000108,-62.60420000000158
-14.252399999997579,17.26879999999801,-8.170200000000477,21.258600000001024,-66.7954000000027,-2.344199999999546,184.65899999999965,711.0123999999996,89.99020000000019,-66.31719999999768,-29.573199999998906,-126.49960000000283,-33.05599999999686,61.109199999998964,40.372199999997974,136.27479999999923,-131.3646000000008,-294.6612000000023,258.95500000000175,-8.236400000001595,19.300799999997253,-26.79099999999744,82.07979999999952,68.87720000000263,-50.98619999999937,-17.48399999999674,-107.40280000000348,23.378199999999197,-29.080399999998917,-29.092400000001362,-96.40699999999924,-53.235200000002806,-21.84100000000035,-51.27219999999943,-77.91960000000108,-59.60420000000158
-11.252399999997579,19.26879999999801,-7.170200000000477,23.258600000001024,-65.7954000000027,-0.344199999999546,184.65899999999965,714.0123999999996,91.99020000000019,-65.31719999999768,-28.573199999998906,-126.49960000000283,-31.055999999996857,63.109199999998964,43.372199999997974,138.27479999999923,-130.3646000000008,-295.6612000000023,261.95500000000175,-5.236400000001595,16.300799999997253,-19.79099999999744,85.07979999999952,71.87720000000263,-49.98619999999937,-16.48399999999674,-105.40280000000348,26.378199999999197,-28.080399999998917,-27.092400000001362,-93.40699999999924,-51.235200000002806,-17.84100000000035,-49.27219999999943,-76.91960000000108,-57.60420000000158
-10.252399999997579,21.26879999999801,-5.170200000000477,23.258600000001024,-66.7954000000027,0.655800000000454,185.65899999999965,716.0123999999996,93.99020000000019,-65.31719999999768,-29.573199999998906,-126.49960000000283,-28.055999999996857,65.10919999999896,47.372199999997974,140.27479999999923,-130.3646000000008,-296.6612000000023,264.95500000000175,-2.236400000001595,9.300799999997253,-11.790999999997439,88.07979999999952,72.87720000000263,-48.98619999999937,-16.48399999999674,-104.40280000000348,28.378199999999197,-27.080399999998917,-26.092400000001362,-92.40699999999924,-48.235200000002806,-16.84100000000035,-48.27219999999943,-75.91960000000108,-55.60420000000158
-8.252399999997579,24.26879999999801,-2.1702000000004773,23.258600000001024,-67.7954000000027,1.655800000000454,186.65899999999965,718.0123999999996,95.99020000000019,-65.31719999999768,-28.573199999998906,-125.49960000000283,-26.055999999996857,68.10919999999896,52.372199999997974,142.27479999999923,-130.3646000000008,-296.6612000000023,266.95500000000175,0.7635999999984051,9.300799999997253,-5.790999999997439,91.07979999999952,74.87720000000263,-47.98619999999937,-16.48399999999674,-104.40280000000348,29.378199999999197,-25.080399999998917,-25.092400000001362,-90.40699999999924,-46.235200000002806,-17.84100000000035,-48.27219999999943,-73.91960000000108,-53.60420000000158
